,place,lat,long
97,Mar Thoma Road (The Elysia),1.32830057,103.8632003
98,Saint Francis Road (Saint Francis Court),37.61456524,-85.4315311
99,Saint George's Road (Blk 11),1.3231698,103.8634601
100,Saint George's Road (Blk 13),1.32334,103.862936
101,Saint George's Road (Blk 14),1.3239383,103.8620691
102,Saint George's Road (Blk 15),1.3243177,103.861733
103,Saint George's Road (Blk 16),1.324267,103.862313
104,Saint George's Road (Blk 18),1.324218,103.8627826
105,Saint George's Road (Blk 20),1.3246522,103.8630974
106,Saint George's Road (Blk 21),1.32492,103.862235
107,Saint George's Road (Blk 22),1.3252063,103.8624458
108,Saint Michael's Road,1.32682014,103.8626489
109,Saint Michael's Road (Airstream),1.32670555,103.8628085
110,Saint Michael's Road (City Regency),1.32682014,103.8626489
111,Saint Michael's Road (Saint Michael Regency),1.324588,103.8653216
112,Saint Michael's Road (Saint Michael's Condominium),1.32708965,103.8636156
113,Saint Michael's Road (Sunville),1.32670555,103.8628085
114,Ang Mo Kio Avenue 1 (Blk 205),1.3669376,103.8435699
115,Ang Mo Kio Avenue 1 (Blk 206),1.365523,103.842119
116,Ang Mo Kio Avenue 1 (Blk 207),1.36594,103.842928
117,Ang Mo Kio Avenue 1 (Blk 218),1.3653498,103.8417164
118,Ang Mo Kio Avenue 3 (Blk 201),1.3686727,103.8443357
119,Ang Mo Kio Avenue 3 (Blk 202),1.3684192,103.8441865
120,Ang Mo Kio Avenue 3 (Blk 203),1.367693,103.844121
121,Ang Mo Kio Avenue 3 (Blk 204),1.367374,103.843924
122,Ang Mo Kio Avenue 3 (Blk 209),1.3687588,103.8434049
123,Ang Mo Kio Avenue 3 (Blk 210),1.368782,103.843342
124,Elias Road (Ris Grandeur),1.3802152,103.9442172
125,Mandalay Road (Mandalay Towers),1.323397,103.849167
126,Mandalay Road (The Ansley),1.323136,103.8492609
127,Martaban Road,1.32309885,103.8504808
128,Martaban Road (Ecoville),1.35652304,103.8085938
129,Minbu Road (Medge),1.3234568,103.8500236
130,Pegu Road,1.3231413,103.8513819
131,Pegu Road (The Tier),1.3231413,103.8513819
132,Jalan Bukit Merah (Blk 141),1.2863783,103.807276
133,Jalan Bukit Merah (Blk 143),1.278975,103.828174
134,Jalan Bukit Merah (Blk 146),1.278918,103.828182
135,Silat Avenue,1.2766544,103.8305329
136,Silat Avenue (Avenue South Residence),1.2766544,103.8305329
137,Spooner Road,1.27536683,103.8324357
138,Spooner Road (Blk 1),1.2754642,103.8306144
139,Spooner Road (Blk 2),1.2755271,103.8303011
140,Race Course Road,1.30849035,103.8509759
141,Race Course Road (Blk 685),1.3141485,103.8567599
142,Serangoon Road,1.36520159,103.8678207
143,Sing Joo Walk (Jool Suites),1.35652304,103.8085938
144,Sturdee Road (Kerrisdale),1.35652304,103.8085938
145,Tessensohn Road (Blk 683),1.315079,103.85612
146,Jurong Lake Link (Lake Grande),1.35652304,103.8085938
147,Jurong West Street 41 (Blk 478),1.34979,103.72088
148,Jurong West Street 41 (Blk 480),1.3469181,103.7239621
149,Jurong West Street 41 (Blk 498),1.3485732,103.7242863
150,Jurong West Street 41 (The Lakeshore),1.34760475,103.723221
151,Jalan Bahagia (Blk 27),1.325951,103.859108
152,Jalan Bahagia (Blk 29),1.3254661,103.8590144
153,Jalan Bahagia (Blk 32),1.32601922,103.8595832
154,Jalan Bahagia (Blk 34),1.327007,103.857591
155,Jalan Bahagia (Blk 35),1.3270974,103.8574102
156,Jalan Bahagia (Blk 41),1.327041,103.856605
157,Whampoa Drive (Blk 74),1.3250221,103.8577669
158,Whampoa Drive (Blk 75),1.3241727,103.8581236
159,Whampoa Road (Blk 114),1.325587,103.857495
160,Woodlands Avenue 1 (Blk 351),1.4320268,103.7841611
161,Woodlands Avenue 5 (Blk 356),1.433404,103.7850216
162,Woodlands Avenue 5 (Blk 357),1.4332154,103.7844565
163,Woodlands Avenue 5 (Blk 358),1.433338,103.783705
164,Woodlands Avenue 5 (Blk 359),1.4345563,103.7834447
165,Woodlands Avenue 5 (Blk 360),1.433953,103.784426
166,Bukit Batok Central (Blk 225),1.34775,103.7515
167,Bukit Batok Central (Blk 228),1.34847,103.75409
168,Bukit Batok Central (Blk 639),1.34946,103.7520509
169,Bukit Batok East Avenue 3 (Blk 223),1.348022,103.753371
170,Bukit Batok Street 21 (Blk 212),1.3469863,103.7521397
171,Bukit Batok Street 21 (Blk 218),1.3473307,103.7542973
172,Bukit Batok East Avenue 3 (Blk 290C),1.3440638,103.7571503
173,Bukit Batok Street 24 (Blk 290A),1.3432091,103.7565779
174,Bukit Batok Street 24 (Blk 290E),1.3438201,103.7578594
175,Bukit Batok Street 24 (Blk 290F),1.343318,103.757457
176,Bukit Batok Street 24 (Blk 290G),1.343268,103.757063
177,Bukit Batok Street 24 (Blk 291C),1.3428778,103.7554695
178,Elias Road (Blk 602),1.37744,103.943849
179,Elias Road (Blk 603),1.376986,103.943648
180,Elias Road (Blk 604),1.376308,103.943251
181,Elias Road (Blk 606),1.376712,103.942866
182,Elias Road (Blk 607),1.376195,103.942459
183,Elias Road (Blk 608),1.375958,103.942838
184,Elias Road (Blk 609),1.3757121,103.942682
